source_workload,destination_workload,timestamp,total_request,new_request,success_count,error_count,success_rate,error_rate,average_latency,istio_request_bytes,throughput,request_rate,p50_latency,p90_latency,p95_latency,p99_latency,time_window
frontend,cartservice,2025-03-10 16:17:00,"[3707437.0, 3708095.0, 3708401.0, 3708499.0]","[667.0, 658.0, 306.0, 98.0]","[667.0, 658.0, 306.0, 98.0]","[0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0]","[47.48650674662669, 9.426975683889443, 12.522875817005636, 4.565306122433775]","[95790.0, 95485.0, 66425.0, 13080.0]","[6386.0, 6365.666666666667, 4428.333333333333, 872.0]","[44.46666666666667, 43.86666666666667, 20.4, 6.533333333333333]",12.522875817005636,47.48650674662669,47.48650674662669,47.48650674662669,15S
frontend,cartservice,2025-03-10 16:18:00,[3708665.0],[166.0],[166.0],[0.0],[1.0],[0.0],[4.490963855421687],[21540.0],[1436.0],[11.066666666666666],4.490963855421687,4.490963855421687,4.490963855421687,4.490963855421687,15S
frontend,checkoutservice,2025-03-10 16:09:00,"[145968.0, 145982.0, 146001.0]","[14.0, 14.0, 19.0]","[14.0, 14.0, 19.0]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]","[49.892857142857146, 74.67857142857143, 64.1842105263158]","[3385.0, 3775.0, 4490.0]","[225.66666666666663, 251.66666666666663, 299.3333333333333]","[0.9333333333333332, 0.9333333333333332, 1.2666666666666666]",64.1842105263158,74.67857142857143,74.67857142857143,74.67857142857143,15S
frontend,checkoutservice,2025-03-10 16:10:00,"[146017.0, 146038.0, 146056.0, 146081.0]","[16.0, 21.0, 18.0, 25.0]","[16.0, 21.0, 18.0, 25.0]","[0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0]","[145.84375, 122.42857142857144, 170.94444444444446, 114.72]","[4600.0, 4980.0, 5365.0, 6795.0]","[306.6666666666667, 332.0, 357.6666666666667, 453.0]","[1.0666666666666669, 1.4, 1.2, 1.6666666666666667]",122.42857142857144,170.94444444444446,170.94444444444446,170.94444444444446,15S
frontend,checkoutservice,2025-03-10 16:11:00,"[146106.0, 146136.0, 146151.0, 146177.0]","[25.0, 30.0, 16.0, 28.0]","[25.0, 30.0, 15.0, 26.0]","[0.0, 0.0, 1.0, 2.0]","[1.0, 1.0, 0.9375, 0.9285714285714286]","[0.0, 0.0, 0.0625, 0.0714285714285714]","[137.86, 170.16666666666666, 202.56666666666663, 193.73076923076923]","[5265.0, 8260.0, 5905.0, 5480.0]","[351.0, 550.6666666666666, 393.6666666666667, 365.3333333333333]","[1.6666666666666667, 2.0, 1.0666666666666669, 1.8666666666666667]",170.16666666666666,202.56666666666663,202.56666666666663,202.56666666666663,15S
frontend,checkoutservice,2025-03-10 16:12:00,"[146208.0, 146234.0, 146256.0, 146259.0]","[31.0, 26.0, 23.0, 3.0]","[31.0, 26.0, 22.0, 3.0]","[0.0, 0.0, 1.0, 0.0]","[1.0, 1.0, 0.9565217391304348, 1.0]","[0.0, 0.0, 0.0434782608695651, 0.0]","[172.79032258064515, 363.9807692307692, 155.36363636363637, 1973.6666666666667]","[8845.0, 6630.0, 5245.0, 3150.0]","[589.6666666666666, 442.0, 349.6666666666667, 210.0]","[2.066666666666667, 1.7333333333333334, 1.5333333333333334, 0.2]",172.79032258064515,363.9807692307692,363.9807692307692,1973.6666666666667,15S
frontend,checkoutservice,2025-03-10 16:13:00,"[146265.0, 146271.0, 146284.0, 146291.0]","[6.0, 6.0, 13.0, 7.0]","[6.0, 6.0, 13.0, 7.0]","[0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0]","[69.58333333333333, 63.66666666666666, 48.92307692307692, 107.28571428571428]","[1725.0, 1540.0, 2510.0, 2520.0]","[115.0, 102.66666666666669, 167.33333333333334, 168.0]","[0.4, 0.4, 0.8666666666666667, 0.4666666666666667]",63.66666666666666,107.28571428571428,107.28571428571428,107.28571428571428,15S
frontend,checkoutservice,2025-03-10 16:14:00,"[146305.0, 146321.0, 146337.0, 146356.0]","[14.0, 17.0, 16.0, 19.0]","[14.0, 16.0, 16.0, 19.0]","[0.0, 1.0, 0.0, 0.0]","[1.0, 0.9411764705882352, 1.0, 1.0]","[0.0, 0.0588235294117647, 0.0, 0.0]","[43.535714285714285, 133.53125, 64.625, 182.8421052631579]","[2915.0, 4950.0, 4620.0, 3440.0]","[194.33333333333331, 330.0, 308.0, 229.33333333333331]","[0.9333333333333332, 1.1333333333333333, 1.0666666666666669, 1.2666666666666666]",133.53125,182.8421052631579,182.8421052631579,182.8421052631579,15S
frontend,checkoutservice,2025-03-10 16:15:00,"[146373.0, 146389.0, 146409.0, 146438.0]","[17.0, 16.0, 20.0, 29.0]","[17.0, 16.0, 20.0, 29.0]","[0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0]","[151.94117647058823, 302.53125, 120.2, 70.62068965517241]","[6030.0, 4735.0, 5090.0, 5890.0]","[402.0, 315.6666666666667, 339.3333333333333, 392.6666666666667]","[1.1333333333333333, 1.0666666666666669, 1.3333333333333333, 1.9333333333333331]",120.2,302.53125,302.53125,302.53125,15S
frontend,checkoutservice,2025-03-10 16:16:00,"[146459.0, 146473.0, 146493.0, 146517.0]","[22.0, 14.0, 20.0, 24.0]","[21.0, 14.0, 20.0, 24.0]","[1.0, 0.0, 0.0, 0.0]","[0.9545454545454546, 1.0, 1.0, 1.0]","[0.0454545454545454, 0.0, 0.0, 0.0]","[329.57142857142856, 310.82142857142856, 168.65, 192.3958333333333]","[6640.0, 3950.0, 5120.0, 6650.0]","[442.6666666666667, 263.3333333333333, 341.3333333333333, 443.3333333333333]","[1.4666666666666666, 0.9333333333333332, 1.3333333333333333, 1.6]",192.3958333333333,329.57142857142856,329.57142857142856,329.57142857142856,15S
